"id","reference","categorie"
1664,"HPE 300GB — SAS 10K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
1665,"HPE 300GB — SAS 10K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
1666,"HPE 300GB — SAS 10K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
1667,"HPE 300GB — SAS 10K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
1668,"HPE 300GB — SAS 10K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
1669,"HPE 300GB — SAS 10K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
1001,"RTX 2080 TI","CARTE GRAPHIQUE"
1670,"HPE 300GB — SAS 10K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
1671,"HPE 300GB — SAS 10K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
685,"SSD 256gb","SATA"
686,"SSD 256gb","SATA"
687,"SSD 256gb","SATA"
740,"Lenovo ThinkCentre i5-6th 8gb 256gb ssd","Mini pc"
688,"SSD 256gb","SATA"
25,"Dell latitude 7280 i7 7600U 8gb ddr4 256gb nvme fhd 12.8p battery miss","laptop"
689,"SSD 256gb","SATA"
1007,"Dell Optiplex 3050 i5-7500T 8gb/256gb ssd","Mini pc"
1008,"Dell Optiplex 3050 i5-7500T 8gb/256gb ssd","Mini pc"
1009,"Dell Optiplex 3050 i5-7500T 8gb/256gb ssd","Mini pc"
1010,"Dell Optiplex 3050 i5-7500T 8gb/256gb ssd","Mini pc"
942,"Hp EliteDesk 705 G4 Ryzen 5 PRO 2400G","Mini pc"
802,"Lenovo ThinkCentre amd pro a6 8gb 256gb SSD","Mini pc"
803,"Lenovo ThinkCentre amd pro a6 8gb 256gb SSD","Mini pc"
737,"Lenovo ThinkCentre i3-10th 8gb ddr4 240gb SSD","Mini pc"
1444,"Dell Aurora R13 i5 12400t 16gb ram ddr5 1tb ssd nvme Rtx 3060 12gb vram","PC BUREAU"
1435,"Hp prodesk 400 g6 mt i5 8500t 8gb ddr4 256gb nvme","PC BUREAU"
77,"Dell Optiplex 5050 i7 6eme 8gb ddr4 256gb SSD","PC BUREAU SSF"
690,"SSD 256gb","SATA"
691,"SSD 256gb","SATA"
1443,"Hp Z 440 Xeon e5-1620 16gb ddr4 256gb ssd","Station de travail"
14,"Dell vostro 5410 i5 11320H 8gb ddr4 256gb nvme fhd 14p battery 81%","laptop"
913,"USB-C to C 5Gbps 100W 5A","Cable"
914,"USB-C to C 5Gbps 100W 5A","Cable"
1002,"RTX 2080 TI","CARTE GRAPHIQUE"
929,"HP EliteOne 800 g5 i5 9600 8gb ram 240gb nvme","All in One"
1446,"Adaptateur réseau i-tec USB-C Gigabit Ethernet (10/100/1000 Mbps).","Adapter"
1447,"Adaptateur réseau i-tec USB-C Gigabit Ethernet (10/100/1000 Mbps).","Adapter"
1448,"Adaptateur réseau i-tec USB-C Gigabit Ethernet (10/100/1000 Mbps).","Adapter"
1449,"Adaptateur réseau i-tec USB-C Gigabit Ethernet (10/100/1000 Mbps).","Adapter"
1450,"Adaptateur réseau i-tec USB-C Gigabit Ethernet (10/100/1000 Mbps).","Adapter"
1006,"P2200","CARTE GRAPHIQUE"
915,"USB-C to C 5Gbps 100W 5A","Cable"
916,"USB-C to C 5Gbps 100W 5A","Cable"
917,"USB-C to C 5Gbps 100W 5A","Cable"
918,"USB-C to C 5Gbps 100W 5A","Cable"
919,"USB-C to C 5Gbps 100W 5A","Cable"
1635,"HP 450GB — SAS 10K — avec caddy","SAS — 2,5"" — 450GB HDD"
1636,"HP 450GB — SAS 10K — avec caddy","SAS — 2,5"" — 450GB HDD"
1579,"Dell 600GB — SAS 10K — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1580,"Dell 600GB — SAS 10K — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1581,"Dell 600GB — SAS 10K — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1191,"Lenovo ThinkpadStation P320-intel core i7-7em gen","Station de travail"
1195,"Tour noir 2CRSI-PROCESSEUR XEON 4214, 16GO RAM,256GB NVME","Station de travail"
1221,"HDD SAS 4To-7.2K RPM-VIOLET 3.5","Stockage-Disque SAS"
1471,"Support de bureau articulé AISENS DT24TSR-371 (Écrans 10"" à 24"")","Support ecran"
13,"Dell vostro 5410 i5 11320H 8gb ddr4 256gb nvme fhd 14p battery 84%","laptop"
1093,"Dell Latitude 7280 i7-7600 U 8go ddr4 256gb ssd nvme 12.5p","laptop"
1094,"Dell Latitude 7280 i7-7600 U 8go ddr4 256gb ssd nvme 12.5p","laptop"
19,"Dell latitude 3410 i3 10110U 8gb ddr4 256gb nvme fhd 14p battery 43%","laptop"
18,"Dell latitude 3410 i3 10110U 8gb ddr4 256gb nvme fhd 14p battery 45%","laptop"
26,"Dell latitude 3420 i5 1135G7 8gb ddr4 256gb nvme fhd 14p battery 69%","laptop"
15,"Dell vostro 5410 i5 11320H 8gb ddr4 256gb nvme fhd 14p battery 78%","laptop"
28,"Hp notebook 255 G8 ryzen 3 3250U 8 gb ddr4 256gb nvme fhd 15.6p battery 96%","laptop"
1179,"Carte S2600W, 16GO RAM, XEON E5-2620v3","serveurs Tour"
41,"Lenovo thinkbook 14 G3 Ryzen 5 5500U 16gb ddr4 512gb nvme battery 4h","laptop"
29,"Hp probook X360 11 G6 i5 10210Y 8 gb ddr4 128gb nvme tactile fhd 11.6p","laptop"
1034,"Lenovo thinkpad x390 i5-8265 U 8gb ddr4 256gb ssd nvme 13.3''FHD","laptop"
98,"HP - 45w","Chargeur HP"
1175,"HP PROLiant ML110 Gen9","serveurs Tour"
1159,"Dell PowerEdge 2950","serveurs rack"
1158,"Dell PowerEdge R430","serveurs rack"
1135,"Dell PowerEdge R630","serveurs rack"
1152,"HPE PROLiant DL360 Gen10","serveurs rack"
1153,"HPE PROLiant DL360 Gen10","serveurs rack"
1141,"HPE PROLiant DL380 Gen10","serveurs rack"
1142,"HPE PROLiant DL380 Gen10","serveurs rack"
1160,"HPE PROLiant DL380 Gen9","serveurs rack"
1604,"HPE 600GB — SAS 10K — sans caddy","SAS — 2,5"" — 600GB / 900GB HDD"
932,"HP ProOne 600 G4 21.5 i3 8eme 16gb ram 256gb ssd","All in One"
99,"HP - 45w","Chargeur HP"
100,"HP - 45w","Chargeur HP"
101,"HP - 45w","Chargeur HP"
1012,"Dell Optiplex 3050 i5-6th 8gb 256gb ssd","Mini pc"
1013,"Dell Optiplex 3050 i5-6th 8gb 256gb ssd","Mini pc"
738,"Lenovo ThinkCentre m70q gen 3 i5 12400t 16gb ddr4 500gb ssd","Mini pc"
869,"USB-C to C 5Gbps 100W 5A","Cable"
1451,"Adaptateur réseau i-tec USB-C Gigabit Ethernet (10/100/1000 Mbps).","Adapter"
1452,"Adaptateur réseau i-tec USB-C Gigabit Ethernet (10/100/1000 Mbps).","Adapter"
1453,"Adaptateur réseau i-tec USB-C Gigabit Ethernet (10/100/1000 Mbps).","Adapter"
1454,"Adaptateur réseau i-tec USB-C Gigabit Ethernet (10/100/1000 Mbps).","Adapter"
930,"HP Pro One 600 G4 I5 8500 8GB RAM 256GB","All in One"
870,"USB-C to C 5Gbps 100W 5A","Cable"
871,"USB-C to C 5Gbps 100W 5A","Cable"
872,"USB-C to C 5Gbps 100W 5A","Cable"
873,"USB-C to C 5Gbps 100W 5A","Cable"
22,"Dell latitude 7390 i7 8650U 16gb ddr4 512gb nvme fhd 13.2p battery HS","laptop"
30,"Lenovo thinkpad P16V G1 i7 13700H 16gb ddr5 1tb nvme fhd 15.6p rtx A1000 battery 94%","laptop"
933,"Hp G1 i3 4130 4GB ddr3 500gb HDD","PC BUREAU"
1557,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1558,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1559,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1560,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1460,"Station d'accueil Dell Dock WD15","Station d'accueil"
17,"Dell latitude 3410 i3 10110U 8gb ddr4 256gb nvme fhd 14p battery 50%","laptop"
43,"Dell latitude 3440 i5 1235U 8gb ddr4 256gb nvme fhd 14p","laptop"
16,"Dell vostro 5410 i5 11320H 8gb ddr4 256gb nvme fhd 14p battery 61%","laptop"
44,"Hp probook X360 11 G6 i5 10210Y 8 gb ddr4 128gb nvme tactile fhd 11.6p","laptop"
40,"Lenovo V15 G2 ryzen 5 5500U 8gb ddr4 256gb nvme fhd 15.6p battery 81%","laptop"
39,"Lenovo thinkbook 13S G2 i5 1135U 8gb ddr4 256gb nvme tactile fhd 13p battery 87%","laptop"
38,"Lenovo thinkpad P14S G1 i7 10510U 16gb ddr4 256gb nvme fhd 14p Quadro P520 battery 88%","laptop"
1436,"Lenovo thinkbook 14 G3 Ryzen 5 5500U 16gb ddr4 512gb nvme battery 4h","laptop"
42,"Lenovo thinkpad E585 ryzen 5 2500U 8gb ddr4 256gb nvme fhd 15.6 radeon vega 8 battery 90%","laptop"
31,"Lenovo thinkpad P15V G3 i7 12700H 16gb ddr5 512gb nvme fhd 15.6p T600 battery 83%","laptop"
33,"Lenovo thinkpad T14 G1 i7 10510U 16gb ddr4 256gb nvme fhd 14p battery 90%","laptop"
32,"Lenovo thinkpad T14 G1 i7 10510U 16gb ddr4 512gb nvme fhd 14p battery 85%","laptop"
1035,"Lenovo thinkpad x280 i5-8350 U 8go ddr4 256gb ssd nvme 12.5''FHD","laptop"
37,"Lenovo thinkpad x390 i5 8265U 8gb ddr4 512gb nvme fhd 13p battery 4h","laptop"
63,"HP elitebook AMD Pro a6 8gb ddr3 500gb HDD","PC BUREAU"
34,"Lenovo thinkpad T14 G1 i7 10510U 16gb ddr4 256gb nvme fhd 14p battery hs","laptop"
53,"Maximpower i3 7eme 8gb ddr4 256gb sata SSD","PC BUREAU"
20,"Dell latitude 3410 i3 10110U 8gb ddr4 256gb nvme fhd 14p battery HS","laptop"
1015,"Dell Optiplex 3040 i5 6500T 8gb ddr3 256gb sata ssd","Mini pc"
1016,"Dell Optiplex 3040 i5 6500T 8gb ddr3 256gb sata ssd","Mini pc"
21,"Dell latitude 7390 i7 8650U 8gb ddr4 256gb nvme fhd 13.2p battery miss","laptop"
54,"Acer vertirom i3 7eme 8gb ddr4 256gb sata SSD","PC BUREAU"
1,"RX 580","CARTE GRAPHIQUE"
2,"RX 580","CARTE GRAPHIQUE"
4,"RX 580","CARTE GRAPHIQUE"
3,"RX 580","CARTE GRAPHIQUE"
1455,"Starter Wired Combo keyboard/mouse","CLAVIERS & PÉRIPHÉRIQUES"
1456,"Starter Wired Combo keyboard/mouse","CLAVIERS & PÉRIPHÉRIQUES"
5,"RX 570","CARTE GRAPHIQUE"
168,"LENOVO - 65w ( normal )","Chargeur LENOVO"
169,"LENOVO - 65w ( normal )","Chargeur LENOVO"
170,"LENOVO - 65w ( normal )","Chargeur LENOVO"
6,"RX 570","CARTE GRAPHIQUE"
7,"RX 570","CARTE GRAPHIQUE"
8,"RX 570","CARTE GRAPHIQUE"
1468,"Dell Wired Keyboard","CLAVIERS & PÉRIPHÉRIQUES"
1469,"Dell Wired Keyboard","CLAVIERS & PÉRIPHÉRIQUES"
171,"LENOVO - 65w ( normal )","Chargeur LENOVO"
172,"LENOVO - 65w ( normal )","Chargeur LENOVO"
181,"LENOVO - 65w ( type C )","Chargeur LENOVO"
182,"LENOVO - 65w ( type C )","Chargeur LENOVO"
183,"LENOVO - 65w ( type C )","Chargeur LENOVO"
